Time,state,curr_node,dest_node,remaining_TOF,resources,capacity,Buy_price,Sell_price
0,0,LeoDepot,None,-1,50.0,100,1.5,1.5
60,0,LeoDepot,None,-1,50.0,100,1.5,1.5
120,1,LeoDepot,LEO1,2744.2231131416033,50.0,100,1.5,1.5
180,2,None,LEO1,2744.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
240,2,None,LEO1,2684.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
300,2,None,LEO1,2624.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
360,2,None,LEO1,2564.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
420,2,None,LEO1,2504.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
480,2,None,LEO1,2444.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
540,2,None,LEO1,2384.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
600,2,None,LEO1,2324.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
660,2,None,LEO1,2264.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
720,2,None,LEO1,2204.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
780,2,None,LEO1,2144.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
840,2,None,LEO1,2084.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
900,2,None,LEO1,2024.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
960,2,None,LEO1,1964.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1020,2,None,LEO1,1904.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1080,2,None,LEO1,1844.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1140,2,None,LEO1,1784.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1200,2,None,LEO1,1724.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1260,2,None,LEO1,1664.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1320,2,None,LEO1,1604.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1380,2,None,LEO1,1544.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1440,2,None,LEO1,1484.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1500,2,None,LEO1,1424.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1560,2,None,LEO1,1364.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1620,2,None,LEO1,1304.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1680,2,None,LEO1,1244.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1740,2,None,LEO1,1184.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1800,2,None,LEO1,1124.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1860,2,None,LEO1,1064.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1920,2,None,LEO1,1004.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
1980,2,None,LEO1,944.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
2040,2,None,LEO1,884.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
2100,2,None,LEO1,824.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
2160,2,None,LEO1,764.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
2220,2,None,LEO1,704.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
2280,2,None,LEO1,644.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
2340,2,None,LEO1,584.2231131416033,99.80919864207046,100,1.4729750671676445,1.4729750671676445
