Time,Transporter,Origin,Destination,TOF
120,T1,LeoDepot,ISS,2759.539685182703
180,T4,LeoDepot,LEO1,2744.2231131416033
1380,T2,LeoDepot,GeoSSP,14980.97481323638
1440,T3,LeoDepot,MEO1a,12369.014188687186
3000,T1,ISS,LeoDepot,2759.5396851827036
3060,T4,LEO1,LeoDepot,2744.2231131416033
5940,T1,LeoDepot,LEO1,2744.2231131416033
7020,T4,LeoDepot,DSG,430296.4025686069
8820,T1,LEO1,LeoDepot,2744.223113141604
13560,T1,LeoDepot,MEO1a,12369.01418868719
26040,T2,GeoSSP,MEO1a,29154.528777451786
221820,T2,MEO1a,GeoSSP,29154.528777451793
251340,T2,GeoSSP,LeoDepot,14980.974813236378
266520,T2,LeoDepot,DSG,430296.40256860707
696960,T2,DSG,LeoDepot,430296.4025686072
1127460,T2,LeoDepot,GeoSSP,14980.97481323639
