Time,x,y,resources,incoming,capacity,ports_filled,Buy_price,Sell_price
0,29999.999999999985,0.0,0.0,0,200.0,0,2.5,3.0
60,29999.202802647094,218.70346510668935,0.0,0,200.0,0,2.5,3.0
120,29996.81125295667,437.3953068918153,0.0,0,200.0,0,2.5,3.0
180,29992.825478031195,656.0639026515536,0.0,0,200.0,0,2.5,3.0
240,29987.245689700587,874.6976309175234,0.0,0,200.0,0,2.5,3.0
300,29980.072184511035,1093.2848720744305,0.0,0,200.0,0,2.5,3.0
360,29971.30534370916,1311.814008977606,0.0,0,200.0,0,2.5,3.0
420,29960.945633221778,1530.273427570419,0.0,0,200.0,0,2.5,3.0
480,29948.993603631137,1748.651517501522,0.0,0,200.0,0,2.5,3.0
540,29935.449890145665,1966.9366727418994,0.0,0,200.0,0,2.5,3.0
600,29920.315212566195,2185.11729220169,0.0,0,200.0,0,2.5,3.0
660,29903.590375247728,2403.1817803467416,0.0,0,200.0,0,2.5,3.0
720,29885.276267056655,2621.118547814872,0.0,0,200.0,0,2.5,3.0
780,29865.373861323555,2838.916012031808,0.0,0,200.0,0,2.5,3.0
840,29843.88421579145,3056.5625978267535,0.0,0,200.0,0,2.5,3.0
900,29820.808472559547,3274.0467380475707,0.0,0,200.0,0,2.5,3.0
960,29796.147858022636,3491.3568741755334,0.0,0,200.0,0,2.5,3.0
1020,29769.903682805805,3708.481456939624,0.0,0,200.0,0,2.5,3.0
1080,29742.07734169486,3925.408946930335,0.0,0,200.0,0,2.5,3.0
1140,29712.670313562176,4142.127815212947,0.0,0,200.0,0,2.5,3.0
1200,29681.68416128807,4358.62654394025,0.0,0,200.0,0,2.5,3.0
1260,29649.12053167779,4574.893626964682,0.0,0,200.0,0,2.5,3.0
1320,29614.98115537396,4790.917570449838,0.0,0,200.0,0,2.5,3.0
1380,29579.267846764593,5006.68689348132,0.0,0,200.0,0,2.5,3.0
1440,29541.982503886717,5222.190128676923,0.0,0,200.0,0,2.5,3.0
1500,29503.127108325425,5437.41582279607,0.0,0,200.0,0,2.5,3.0
1560,29462.70372510862,5652.352537348515,0.0,0,200.0,0,2.5,3.0
1620,29420.71450259725,5866.988849202269,0.0,0,200.0,0,2.5,3.0
1680,29377.161672371098,6081.313351190694,0.0,0,200.0,0,2.5,3.0
1740,29332.04754911024,6295.314652718736,0.0,0,200.0,0,2.5,3.0
1800,29285.374530471996,6508.981380368333,0.0,0,200.0,0,2.5,3.0
1860,29237.145096963483,6722.302178502831,0.0,0,200.0,0,2.5,3.0
