Time,x,y,resources,incoming,capacity,ports_filled,Buy_price,Sell_price
0,6800.000000230205,0.0,209.95833333333334,0,300.0,0,2.747252236882716,1.89630219671009
60,6784.489447137623,459.023904398269,209.91666666666669,72.5,300.0,0,3.048521910493827,1.7439127520850808
120,6738.028545876706,915.9537750789812,209.87500000000003,72.5,300.0,0,3.0483231875,1.7439943490198615
180,6660.829247705018,1368.7051311543305,209.83333333333337,72.5,300.0,0,3.0481244938271606,1.7440759519750009
240,6553.243730214606,1815.2125538166974,209.7916666666667,72.5,300.0,0,3.0479258294753087,1.7441575609518323
300,6415.762790723405,2253.439108629257,209.75000000000006,72.5,300.0,0,3.0477271944444446,1.7442391759516886
360,6249.0136072935065,2681.3856378729597,209.7083333333334,72.5,300.0,0,3.0475285887345684,1.744320796975904
420,6053.756877590398,3097.0998805588656,209.66666666666674,72.5,300.0,0,3.047330012345679,1.744402424025812
480,5830.883348635444,3498.685378501003,209.62500000000009,72.5,300.0,0,3.047131465277778,1.7444840571027478
540,5581.409753282663,3884.3101278208906,209.58333333333343,72.5,300.0,0,3.046932947530865,1.7445656962080467
600,5306.474171957289,4252.214936416194,209.54166666666677,72.5,300.0,0,3.0467344591049383,1.7446473413430443
660,5007.33084081551,4600.721449267345,209.5000000000001,72.5,300.0,0,3.0465360000000006,1.7447289925090768
720,4685.344430010212,4928.239804971251,209.45833333333346,72.5,300.0,0,3.04633757021605,1.7448106497074807
780,4341.983818164839,5233.275888573568,209.4166666666668,72.5,300.0,0,3.046139169753087,1.7448923129395937
840,3978.8153914557893,5514.43814761262,209.37500000000014,72.5,300.0,0,3.0459407986111113,1.7449739822067534
900,3597.495897872424,5770.443940280667,209.33333333333348,72.5,300.0,0,3.045742456790124,1.7450556575102976
960,3199.764889253056,6000.125386742694,209.29166666666683,72.5,300.0,0,3.0455441442901243,1.7451373388515652
1020,2787.436785575787,6202.434696919405,209.25000000000017,72.5,300.0,0,3.045345861111112,1.7452190262318956
1080,2362.392597706334,6376.448950429472,209.2083333333335,72.5,300.0,0,3.045147607253087,1.7453007196526285
1140,1926.5713463630539,6521.374306885294,209.16666666666686,72.5,300.0,0,3.0449493827160503,1.7453824191151035
1200,1481.961216445244,6636.549627335196,209.1250000000002,72.5,300.0,0,3.044751187500001,1.7454641246206617
1260,1030.5904870780107,6721.449490331315,209.08333333333354,72.5,300.0,0,3.0445530216049392,1.7455458361706444
1320,574.5182787501897,6775.686588864091,209.04166666666688,72.5,300.0,0,3.044354885030865,1.7456275537663932
1380,115.82515975621943,6799.013497228714,209.00000000000023,72.5,300.0,0,3.0441567777777787,1.7457092774092497
1440,-343.39634520533906,6791.323799763224,208.95833333333357,72.5,300.0,0,3.04395869984568,1.7457910071005573
1500,-801.0513009775075,6752.652576309035,208.9166666666669,72.5,300.0,0,3.0437606512345687,1.7458727428416592
1560,-1255.0519188869487,6683.176242179236,208.87500000000026,72.5,300.0,0,3.0435626319444453,1.7459544846338984
1620,-1703.327081084275,6583.211743364763,208.8333333333336,72.5,300.0,0,3.0433646419753098,1.7460362324786192
1680,-2143.83178883328,6453.215110649783,208.79166666666694,72.5,300.0,0,3.0431666813271616,1.7461179863771665
1740,-2574.556491646655,6293.77937923239,208.75000000000028,72.5,300.0,0,3.0429687500000013,1.7461997463308856
1800,-2993.5362547093855,6105.631883341091,208.70833333333363,72.5,300.0,0,3.0427708479938285,1.7462815123411217
1860,-3398.859722768685,5889.630938188875,208.66666666666697,72.5,300.0,0,3.0425729753086435,1.7463632844092214
1920,-3788.67783959785,5646.761924401538,208.6250000000003,72.5,300.0,0,3.042375131944446,1.7464450625365306
1980,-4161.212283256488,5378.132792782836,208.58333333333366,72.5,300.0,0,3.042177317901236,1.7465268467243975
2040,-4514.763578666077,5084.969009923371,208.541666666667,72.5,300.0,0,3.041979533179014,1.746608636974169
2100,-4847.718850491842,4768.607967711,208.50000000000034,72.5,300.0,0,3.0417817777777794,1.746690433287193
2160,-5158.559180962927,4430.492882246161,208.45833333333368,72.5,300.0,0,3.0415840516975323,1.746772235664819
2220,-5445.8665390649385,4072.1662099948303,208.41666666666703,72.5,300.0,0,3.0413863549382727,1.7468540441083955
2280,-5708.330249494472,3695.2626112141447,208.37500000000037,72.5,300.0,0,3.0411886875000014,1.7469358586192725
2340,-5944.7529718646565,3301.501492751006,208.3333333333337,72.5,300.0,0,3.0409910493827175,1.7470176791987997
2400,-6154.056162885054,2892.679164232925,208.29166666666706,72.5,300.0,0,3.0407934405864214,1.7470995058483283
2460,-6335.284996597822,2470.660643433921,208.2500000000004,72.5,300.0,0,3.040595861111113,1.747181338569209
2520,-6487.6127202244015,2037.371148198909,208.20833333333374,72.5,300.0,0,3.040398310956792,1.7472631773627936
2580,-6610.344425751641,1594.7873137396655,208.16666666666708,72.5,300.0,0,3.0402007901234587,1.747345022230434
2640,-6702.920220051702,1144.9281753685757,208.12500000000043,72.5,300.0,0,3.040003298611113,1.7474268731734832
2700,-6764.917779073841,689.8459578061161,208.08333333333377,72.5,300.0,0,3.039805836419755,1.7475087301932946
2760,-6796.054274456059,231.61671308074958,208.0416666666671,72.5,300.0,0,3.0396084035493844,1.747590593291221
2820,-6796.187663767553,-227.66915026969264,208.00000000000045,72.5,300.0,0,3.039411000000002,1.747672462468617
2880,-6765.317338495973,-685.9164034899343,207.9583333333338,72.5,300.0,0,3.039213625771607,1.7477543377268376
2940,-6703.5841268234035,-1141.0345558886895,280.41666666666714,0.0,300.0,1,3.039016280864199,1.7478362190672376
3000,-6611.26965117843,-1590.9473915053964,280.37500000000045,0.0,300.0,0,3.0388189652777795,1.7479181064911729
3060,-6488.795043495072,-2033.6024406566253,280.33333333333377,0.0,300.0,0,3.0386216790123477,1.747999999999999
3120,-6336.719024039473,-2466.980343153753,280.2916666666671,0.0,300.0,0,3.0384244220679033,1.7480818995950735
3180,-6155.735352568636,-2889.104060477484,280.2500000000004,0.0,300.0,0,3.0382271944444463,1.7481638052777528
3240,-5946.669663448778,-3298.047894884002,280.2083333333337,0.0,300.0,0,3.0380299961419768,1.7482457170493952
3300,-5710.475699171315,-3691.946274298243,280.166666666667,0.0,300.0,0,3.0378328271604955,1.7483276349113583
3360,-5448.23095944888,-4069.0022629182117,280.12500000000034,0.0,300.0,0,3.0376356875000012,1.748409558865001
3420,-5161.131785739876,-4427.495758705625,280.08333333333366,0.0,300.0,0,3.0374385771604953,1.7484914889116827
