Time,x,y,resources,incoming,capacity,ports_filled,Buy_price,Sell_price
0,8999.999999891375,0.0,0.0,0,200.0,0,1.875,2.25
60,8991.143665170666,399.16862389992724,0.0,0,200.0,0,1.875,2.25
120,8964.592090934024,797.5516542568978,0.0,0,200.0,0,1.875,2.25
180,8920.397532654517,1194.3650436344817,0.0,0,200.0,0,1.875,2.25
240,8858.646968510135,1588.8278337664499,0.0,0,200.0,0,1.875,2.25
300,8779.461928204271,1980.1636925407329,0.0,0,200.0,0,1.875,2.25
360,8682.99825378622,2367.6024418787606,0.0,0,200.0,0,1.875,2.25
420,8569.445792942435,2750.3815735032103,0.0,0,200.0,0,1.875,2.25
480,8439.028025362166,3127.7477496110137,0.0,0,200.0,0,1.875,2.25
540,8292.00162291279,3498.9582854981873,0.0,0,200.0,0,1.875,2.25
600,8128.655944490517,3863.2826112185717,0.0,0,200.0,0,1.875,2.25
660,7949.312466540516,4220.003709399832,0.0,0,200.0,0,1.875,2.25
720,7754.324150367394,4568.419526386974,0.0,0,200.0,0,1.875,2.25
780,7544.07474748108,4907.8443539361615,0.0,0,200.0,0,1.875,2.25
840,7318.978044345312,5237.610178739543,0.0,0,200.0,0,1.875,2.25
900,7079.477048015094,5557.067997125128,0.0,0,200.0,0,1.875,2.25
960,6826.04311426586,5865.5890923443,0.0,0,200.0,0,1.875,2.25
1020,6559.17501993026,6162.566271933123,0.0,0,200.0,0,1.875,2.25
1080,6279.39798126823,6447.415062712289,0.0,0,200.0,0,1.875,2.25
1140,5987.26262030235,6719.5748610738065,0.0,0,200.0,0,1.875,2.25
1200,5683.343881152729,6978.5100362906005,0.0,0,200.0,0,1.875,2.25
1260,5368.239898504223,7223.710984677626,0.0,0,200.0,0,1.875,2.25
1320,5042.570820432872,7454.695132529819,0.0,0,200.0,0,1.875,2.25
1380,4706.977587908374,7671.00788586305,0.0,0,200.0,0,1.875,2.25
1440,4362.120673374561,7872.223525088899,0.0,0,200.0,0,1.875,2.25
1500,4008.6787808905306,8057.946042862464,0.0,0,200.0,0,1.875,2.25
1560,3647.347510390541,8227.809923454282,0.0,0,200.0,0,1.875,2.25
1620,3278.8379886916296,8381.480862112463,0.0,0,200.0,0,1.875,2.25
1680,2903.875469943123,8518.656422999315,0.0,0,200.0,0,1.875,2.25
1740,2523.1979082725293,8639.066634407562,0.0,0,200.0,0,1.875,2.25
1800,2137.5545054369313,8742.474520084754,0.0,0,200.0,0,1.875,2.25
1860,1747.7042363381904,8828.676565620148,0.0,0,200.0,0,1.875,2.25
1920,1354.414355303894,8897.503118976225,0.0,0,200.0,0,1.875,2.25
