Time,x,y,resources,incoming,capacity,ports_filled,Buy_price,Sell_price
0,8499.999999999995,0.0,199.89583333333334,0,500.0,0,3.022046706597222,2.577438684102945
60,8490.071403447293,410.7159168651959,199.79166666666669,0,500.0,0,3.0218934930555554,2.5776660616484075
120,8460.308808384367,820.4723436983151,199.68750000000003,0,500.0,0,3.0217403593749994,2.5778934984762465
180,8410.781744410919,1228.3120319706743,199.58333333333337,0,500.0,0,3.0215873055555553,2.5781209946328563
240,8341.605913700274,1633.2822109239116,199.4791666666667,0,500.0,0,3.021434331597222,2.5783485501646886
300,8252.942920702866,2034.436813376216,199.37500000000006,0,500.0,0,3.0212814375,2.578576165118258
360,8144.999894615541,2430.8386858680556,199.2708333333334,0,500.0,0,3.021128623263889,2.578803839540141
420,8018.029005498704,2821.561777984203,199.16666666666674,0,500.0,0,3.020975888888889,2.5790315734769713
480,7872.3268751716405,3205.693305737499,199.06250000000009,0,500.0,0,3.020823234375,2.5792593669754464
540,7708.233884262328,3582.335883960356,198.95833333333343,0,500.0,0,3.020670659722222,2.579487220082324
600,7526.1333770304955,3950.609622722481,198.85416666666677,0,500.0,0,3.0205181649305555,2.5797151328444223
660,7326.450765821638,4309.654182877258,198.7500000000001,0,500.0,0,3.02036575,2.5799431053086237
720,7109.652537244056,4658.6307859347535,198.64583333333346,0,500.0,0,3.0202134149305553,2.5801711375218677
780,6876.245162390668,4996.724173566001,198.5416666666668,0,500.0,0,3.020061159722222,2.5803992295311597
840,6626.773913651435,5323.144512160907,198.43750000000014,0,500.0,0,3.0199089843749998,2.580627381383563
900,6361.821590880525,5637.129237990406,198.33333333333348,0,500.0,0,3.0197568888888893,2.5808555931262047
960,6082.00715989406,5937.944838662388,198.22916666666683,0,500.0,0,3.019604873263889,2.581083864806274
1020,5787.98430647907,6224.888566709601,198.12500000000017,0,500.0,0,3.0194529375,2.5813121964710217
1080,5480.439909291752,6497.290081306369,198.0208333333335,0,500.0,0,3.0193010815972223,2.5815405881677593
1140,5160.092435212508,6754.513014278864,197.91666666666686,0,500.0,0,3.0191493055555556,2.5817690399438633
1200,4827.690260906472,6995.956456750478,197.8125000000002,0,500.0,0,3.0189976093750004,2.5819975518467695
1260,4484.009924510564,7221.056362949307,197.70833333333354,0,500.0,0,3.0188459930555553,2.5822261239239794
