Time,x,y,resources,capacity,ports_filled,buy_prem,sell_prem
0,35000.000004443755,0.0,149.97916666666666,300.0,0,1,1
60,34999.41430746909,202.4807279508324,149.95833333333331,300.0,0,1,1
120,34997.657236147395,404.9546791959633,149.93749999999997,300.0,0,1,1
180,34994.728849285064,607.4150772564967,149.91666666666663,300.0,0,1,1
240,34990.6292448905,809.8551461071402,149.8958333333333,300.0,0,1,1
300,34985.358560170906,1012.2681104029868,149.87499999999994,300.0,0,1,1
360,34978.91697152766,1214.6471957062765,149.8541666666666,300.0,0,1,1
420,34971.30469455041,1416.9856287131247,149.83333333333326,300.0,0,1,1
480,34962.52198400987,1619.2766374802136,149.81249999999991,300.0,0,1,1
540,34952.56913384931,1821.5134516514388,149.79166666666657,300.0,0,1,1
600,34941.44647717468,2023.689302684502,149.77083333333323,300.0,0,1,1
660,34929.154386243485,2225.7974240774442,149.7499999999999,300.0,0,1,1
720,34915.693272452336,2427.83105159511,149.72916666666654,300.0,0,1,1
780,34901.06358632314,2629.783423495532,149.7083333333332,300.0,0,1,1
840,34885.26581748806,2831.647780756239,149.68749999999986,300.0,0,1,1
900,34868.30049467313,3033.4173673004716,149.66666666666652,300.0,0,1,1
960,34850.16818568054,3235.085430223291,149.64583333333317,300.0,0,1,1
1020,34830.86949736962,3436.645220017592,149.62499999999983,300.0,0,1,1
1080,34810.40507563656,3638.0899908000006,149.6041666666665,300.0,0,1,1
1140,34788.775605392795,3839.413000536641,149.58333333333314,300.0,0,1,1
1200,34765.98181054205,4040.607511268786,149.5624999999998,300.0,0,1,1
1260,34742.024453956146,4241.6667893383665,149.54166666666646,300.0,0,1,1
1320,34716.90433744942,4442.5841056133295,149.52083333333312,300.0,0,1,1
1380,34690.62230175196,4643.3527357128605,149.49999999999977,300.0,0,1,1
1440,34663.179226481414,4843.965960232433,149.47916666666643,300.0,0,1,1
1500,34634.57603011354,5044.417064968691,149.4583333333331,300.0,0,1,1
1560,34604.81366995154,5244.6993411441745,149.43749999999974,300.0,0,1,1
1620,34573.89314209392,5444.806085631839,149.4166666666664,300.0,0,1,1
1680,34541.81548140126,5644.730601179409,149.39583333333306,300.0,0,1,1
1740,34508.58176146147,5844.466196633521,149.37499999999972,300.0,0,1,1
1800,34474.193094553935,6044.006187163662,149.35416666666637,300.0,0,1,1
1860,34438.65063161228,6243.343894485899,149.33333333333303,300.0,0,1,1
1920,34401.9555621858,6442.472647086399,149.3124999999997,300.0,0,1,1
1980,34364.109114399726,6641.38578044471,149.29166666666634,300.0,0,1,1
2040,34325.112554914034,6840.076637256802,149.270833333333,300.0,0,1,1
2100,34284.967188881135,7038.538567657899,149.24999999999966,300.0,0,1,1
2160,34243.67435990213,7236.764929445015,149.22916666666632,300.0,0,1,1
