Time,x,y,resources,incoming,capacity,ports_filled,Buy_price,Sell_price
0,6900.000000169905,0.0,299.93055555555554,75.0,500.0,0,3.2448166836419756,2.156952319454696
60,6884.935524976027,455.70036127677514,299.8611111111111,150.0,500.0,0,3.4623600679012347,2.047931311788367
120,6839.807878644493,909.4109002961221,299.79166666666663,150.0,500.0,0,3.462140152777778,2.0480279555836725
180,6764.81411169957,1359.15048338845,299.7222222222222,150.0,500.0,0,3.461920271604938,2.0481246068398025
240,6660.2816855156925,1802.9553161209956,299.6527777777777,150.0,500.0,0,3.461700424382716,2.0482212655584857
300,6526.667042452618,2238.8875182347842,299.58333333333326,150.0,500.0,0,3.461480611111111,2.048317931741451
360,6364.55361279322,2665.043585426978,299.5138888888888,150.0,500.0,0,3.4612608317901237,2.0484146053904273
420,6174.64926718667,3079.5627010301055,299.44444444444434,150.0,500.0,0,3.4610410864197534,2.048511286507146
480,5957.783225720946,3480.6348612951097,299.3749999999999,150.0,500.0,0,3.460821375,2.048607975093337
540,5714.902437121261,3866.5087787990606,299.30555555555543,150.0,500.0,0,3.460601697530864,2.0487046711507313
600,5447.067443884667,4235.4995294671535,299.236111111111,150.0,500.0,0,3.4603820540123453,2.0488013746810627
660,5155.447751405822,4585.9959098182135,299.1666666666665,150.0,500.0,0,3.4601624444444443,2.0488980856860626
720,4841.316721314663,4916.467472308116,299.09722222222206,150.0,500.0,0,3.4599428688271603,2.048994804167465
780,4506.046011324327,5225.4712080512745,299.0277777777776,150.0,500.0,0,3.4597233271604932,2.0490915301270047
840,4151.099585867789,5511.657847739915,298.95833333333314,150.0,500.0,0,3.4595038194444436,2.049188263566416
900,3778.027323675862,5773.777753248155,298.8888888888887,150.0,500.0,0,3.459284345679012,2.049285004487434
960,3388.4582502091794,6010.686374195054,298.81944444444423,150.0,500.0,0,3.4590649058641967,2.049381752891795
1020,2984.093424494811,6221.349245640495,298.7499999999998,150.0,500.0,0,3.4588454999999994,2.049478508781237
1080,2566.698511427279,6404.846505091416,298.6805555555553,150.0,500.0,0,3.458626128086419,2.0495752721574965
1140,2138.096071967105,6560.376909094748,298.61111111111086,150.0,500.0,0,3.458406790123456,2.0496720430223125
1200,1700.157604901867,6687.261331878625,298.5416666666664,150.0,500.0,0,3.4581874861111106,2.049768821377423
1260,1254.7953749194953,6784.945730764938,298.47222222222194,150.0,500.0,0,3.457968216049382,2.049865607224568
1320,803.9540626767201,6853.003565404758,298.4027777777775,150.0,500.0,0,3.457748979938271,2.0499624005654877
1380,349.6022733226611,6891.137660272966,298.33333333333303,150.0,500.0,0,3.4575297777777774,2.0500592014019228
1440,-106.27605944416698,6899.181502289511,298.2638888888886,150.0,500.0,0,3.4573106095679007,2.0501560097356157
1500,-561.69033625124,6877.099967901201,298.1944444444441,150.0,500.0,0,3.4570914753086415,2.050252825568308
1560,-1014.6519840331259,6824.989476449205,298.12499999999966,150.0,500.0,0,3.456872374999999,2.0503496489017423
1620,-1463.1831391647202,6743.07756915259,298.0555555555552,150.0,500.0,0,3.4566533086419744,2.0504464797376634
