Time,x,y,resources,incoming,capacity,ports_filled,Buy_price,Sell_price
0,7000.0000000504015,0.0,39.986111111111114,0,200.0,0,2.658576670717593,2.5866087061375547
60,6985.362638934273,452.44756965513983,39.97222222222223,0,200.0,0,2.6585533495370375,2.5867065595979306
120,6941.511770540295,903.0029568922486,39.95833333333334,75.0,200.0,0,2.9025237864583335,2.1947307971048162
180,6868.630783724455,1349.7818925953943,39.94444444444446,75.0,200.0,0,2.9024567314814815,2.194788505094291
240,6767.024474293181,1790.915901158601,39.93055555555557,75.0,200.0,0,2.902389684606482,2.194846216570337
300,6637.11777031585,2224.5601146436097,39.916666666666686,75.0,200.0,0,2.9023226458333333,2.1949039315335863
360,6479.453955031748,2648.900988207951,39.9027777777778,75.0,200.0,0,2.902255615162037,2.194961649984672
420,6294.692394783519,3062.1638845365796,39.888888888888914,75.0,200.0,0,2.902188592592593,2.195019371924226
480,6083.605781479078,3462.6204955582334,39.87500000000003,75.0,200.0,0,2.902121578125,2.1950770973528804
540,5847.076901114343,3848.5960704081067,39.86111111111114,75.0,200.0,0,2.9020545717592596,2.1951348262712687
600,5586.094941871099,4218.476419408759,39.84722222222226,75.0,200.0,0,2.9019875734953704,2.195192558680024
660,5301.7513572299795,4570.714664777891,39.83333333333337,75.0,200.0,0,2.9019205833333337,2.1952502945797785
720,4995.235301399389,4903.8377098308365,39.819444444444485,75.0,200.0,0,2.9018536012731486,2.195308033971166
780,4667.828656149918,5216.4523996228745,39.8055555555556,75.0,200.0,0,2.901786627314815,2.1953657768548207
840,4320.9006698525045,5507.2513472669625,39.791666666666714,75.0,200.0,0,2.9017196614583334,2.195423523231376
900,3955.9022311404915,5775.0184015605755,39.77777777777783,75.0,200.0,0,2.901652703703704,2.195481273101465
960,3574.359801143652,6018.633733055526,39.76388888888894,75.0,200.0,0,2.901585754050926,2.1955390264657226
1020,3177.8690296702607,6237.078517300242,39.75000000000006,75.0,200.0,0,2.9015188125000004,2.1955967833247834
1080,2768.0880820349507,6429.439195668752,39.73611111111117,75.0,200.0,0,2.9014518790509265,2.195654543679282
1140,2346.730704440295,6594.911295957115,39.722222222222285,75.0,200.0,0,2.901384953703704,2.1957123075298517
1200,1915.5590569133676,6732.80279676917,39.7083333333334,75.0,200.0,0,2.9013180364583335,2.195770074877129
1260,1476.3763437706912,6842.5370216214305,39.694444444444514,75.0,200.0,0,2.9012511273148154,2.1958278457217477
1320,1031.019272431756,6923.655050663623,39.68055555555563,75.0,200.0,0,2.901184226273149,2.1958856200643444
1380,581.350372119054,6975.817639928859,39.66666666666674,75.0,200.0,0,2.9011173333333335,2.1959433979055536
1440,129.25020456874287,6998.806640086904,39.65277777777786,75.0,200.0,0,2.901050448495371,2.1960011792460117
1500,-323.3905006725946,6992.525908767183,39.63888888888897,75.0,200.0,0,2.90098357175926,2.1960589640863533
1560,-774.6787534739804,6957.001712636098,39.625000000000085,75.0,200.0,0,2.9009167031250005,2.1961167524272165
1620,-1222.7272198000776,6892.382617547111,39.6111111111112,75.0,200.0,0,2.900849842592593,2.196174544269236
1680,-1665.6621147368573,6798.938867223027,39.597222222222314,75.0,200.0,0,2.9007829901620372,2.1962323396130476
1740,-2101.631038853443,6677.061253068853,39.58333333333343,75.0,200.0,0,2.9007161458333344,2.1962901384592897
1800,-2528.810725127644,6527.259479841828,39.56944444444454,75.0,200.0,0,2.9006493096064823,2.1963479408085984
1860,-2945.4146640367685,6350.160034013535,39.55555555555566,75.0,200.0,0,2.900582481481482,2.1964057466616107
1920,-3349.7005749247705,6146.50356373884,39.54166666666677,75.0,200.0,0,2.900515661458334,2.1964635560189634
1980,-3739.977692399705,5917.1417813888975,39.527777777777885,75.0,200.0,0,2.9004488495370375,2.196521368881294
2040,-4114.61383728906,5663.033901602125,39.513888888889,75.0,200.0,0,2.9003820457175933,2.196579185249241
2100,-4472.042242581449,5385.242629749628,39.500000000000114,75.0,200.0,0,2.9003152500000007,2.1966370051234416
2160,-4810.768105807895,5084.929717591691,39.48611111111123,75.0,200.0,0,2.90024846238426,2.196694828504534
2220,-5129.374840460017,4763.351104712036,39.47222222222234,75.0,200.0,0,2.900181682870371,2.1967526553931553
2280,-5426.530000300917,4421.851666048933,39.45833333333346,75.0,200.0,0,2.900114911458334,2.1968104857899453
2340,-5700.9908517928625,4061.8595874894154,39.44444444444457,75.0,200.0,0,2.900048148148149,2.1968683196955414
2400,-5951.60957133714,3684.8803930485647,39.430555555555685,75.0,200.0,0,2.8999813929398153,2.196926157110583
2460,-6177.338045590778,3292.490648612734,39.4166666666668,75.0,200.0,0,2.8999146458333342,2.1969839980357095
2520,-6377.232254784679,2886.3313685783737,39.402777777777914,75.0,200.0,0,2.8998479068287044,2.197041842471559
2580,-6550.4562207117115,2468.1011529604752,39.38888888888903,75.0,200.0,0,2.8997811759259267,2.1970996904187716
2640,-6696.285502873813,2039.5490836720758,39.37500000000014,75.0,200.0,0,2.899714453125001,2.1971575418779867
2700,-6814.110228166899,1602.4674096832234,39.361111111111256,75.0,200.0,0,2.899647738425927,2.197215396849844
2760,-6903.437641433108,1158.684051650887,39.34722222222237,75.0,200.0,0,2.8995810318287045,2.197273255334983
2820,-6963.894166213712,710.054957366156,39.333333333333485,75.0,200.0,0,2.899514333333334,2.1973311173340444
2880,-6995.226967084419,258.4563399890844,39.3194444444446,75.0,200.0,0,2.8994476429398155,2.1973889828476674
2940,-6997.305007039192,-194.2231684683177,39.30555555555571,75.0,200.0,0,2.8993809606481493,2.1974468518764945
3000,-6970.119595500539,-646.090415596008,39.29166666666683,75.0,200.0,0,2.8993142864583343,2.1975047244211647
3060,-6913.784424664395,-1095.2556459446532,39.27777777777794,75.0,200.0,0,2.8992476203703714,2.1975626004823194
3120,-6828.535094027636,-1539.8404041778504,114.26388888888906,0.0,200.0,1,2.89918096238426,2.1976204800606003
3180,-6714.728125086669,-1977.9853909661952,114.25000000000017,0.0,200.0,0,2.899114312500001,2.197678363156648
3240,-6572.839470327755,-2407.8582387688816,114.23611111111128,0.0,200.0,0,2.899047670717594,2.197736249771104
3300,-6403.4625227445995,-2827.661174983842,114.2222222222224,0.0,200.0,0,2.8989810370370384,2.19779413990461
3360,-6207.305634207636,-3235.638540418225,114.20833333333351,0.0,200.0,0,2.8989144114583345,2.1978520335578082
3420,-5985.189153063405,-3630.084131636317,114.19444444444463,0.0,200.0,0,2.8988477939814827,2.19790993073134
3480,-5738.041993353144,-4009.3483364783247,114.18055555555574,0.0,200.0,0,2.8987811846064826,2.1979678314258484
3540,-5466.897749998425,-4371.845032908623,114.16666666666686,0.0,200.0,0,2.8987145833333345,2.198025735641976
3600,-5172.890376200528,-4716.058222341789,114.15277777777797,0.0,200.0,0,2.898647990162038,2.1980836433803645
3660,-4857.249441131189,-5040.548369705065,114.13888888888908,0.0,200.0,0,2.8985814050925933,2.198141554641657
3720,-4521.294987747439,-5343.958423722579,114.1250000000002,0.0,200.0,0,2.898514828125001,2.198199469426497
3780,-4166.432012235768,-5625.019492243796,114.11111111111131,0.0,200.0,0,2.8984482592592604,2.1982573877355276
3840,-3794.144588173102,-5882.556148881404,114.09722222222243,0.0,200.0,0,2.8983816984953714,2.1983153095693924
3900,-3405.989659978013,-6115.491348765732,114.08333333333354,0.0,200.0,0,2.8983151458333345,2.1983732349287344
3960,-3003.5905316084845,-6322.850932857544,114.06944444444466,0.0,200.0,0,2.898248601273149,2.1984311638141985
4020,-2588.630077737291,-6503.767701981636,114.05555555555577,0.0,200.0,0,2.898182064814816,2.198489096226427
4080,-2162.843705796486,-6657.485043543257,114.04166666666688,0.0,200.0,0,2.898115536458335,2.198547032166066
4140,-1728.012098324463,-6783.360095760059,114.027777777778,0.0,200.0,0,2.898049016203705,2.198604971633759
4200,-1285.9537659678533,-6880.866436176388,114.01388888888911,0.0,200.0,0,2.897982504050927,2.19866291463015
4260,-838.5174422824097,-6949.5962832163,114.00000000000023,0.0,200.0,0,2.8979160000000013,2.1987208611558846
4320,-387.57435213844116,-6989.262201568211,113.98611111111134,0.0,200.0,0,2.897849504050927,2.198778811211608
4380,64.98961393454428,-6999.698304268997,113.97222222222246,0.0,200.0,0,2.897783016203705,2.1988367647979654
4440,517.2817867366805,-6980.860946460412,113.95833333333357,0.0,200.0,0,2.8977165364583346,2.198894721915601
4500,967.4106337356085,-6932.8289079163715,113.94444444444468,0.0,200.0,0,2.897650064814816,2.198952682565162
4560,1413.4936696507004,-6855.803063577822,113.9305555555558,0.0,200.0,0,2.8975836012731495,2.199010646747293
4620,1853.6653292006745,-6750.105543473005,113.91666666666691,0.0,200.0,0,2.897517145833335,2.199068614462641
4680,2286.084769090144,-6616.17838553645,113.90277777777803,0.0,200.0,0,2.8974506984953714,2.1991265857118516
4740,2708.943566606182,-6454.581686960714,113.88888888888914,0.0,200.0,0,2.897384259259261,2.19918456049557
4800,3120.4732826286913,-6265.991261812145,113.87500000000026,0.0,200.0,0,2.8973178281250016,2.1992425388144454
4860,3518.9528574252818,-6051.195814706717,113.86111111111137,0.0,200.0,0,2.897251405092594,2.1993005206691225
4920,3902.7158083006143,-5811.093642365965,113.84722222222248,0.0,200.0,0,2.897184990162039,2.199358506060249
4980,4270.157198998991,-5546.688876847406,113.8333333333336,0.0,200.0,0,2.897118583333335,2.199416494988472
5040,4619.740351713394,-5259.087286160655,113.81944444444471,0.0,200.0,0,2.897052184606483,2.1994744874544385
