Time,state,curr_node,dest_node,remaining_TOF,resources,capacity,buy_prem,sell_prem
0,0,LeoDepot,None,-1,40.0,100,1,1
60,1,LeoDepot,ISS,2759.539685182703,40.0,100,1,1
120,2,None,ISS,2759.539685182703,99.43076424455258,100,1,1
180,2,None,ISS,2699.539685182703,99.43076424455258,100,1,1
240,2,None,ISS,2639.539685182703,99.43076424455258,100,1,1
300,2,None,ISS,2579.539685182703,99.43076424455258,100,1,1
360,2,None,ISS,2519.539685182703,99.43076424455258,100,1,1
420,2,None,ISS,2459.539685182703,99.43076424455258,100,1,1
480,2,None,ISS,2399.539685182703,99.43076424455258,100,1,1
540,2,None,ISS,2339.539685182703,99.43076424455258,100,1,1
600,2,None,ISS,2279.539685182703,99.43076424455258,100,1,1
660,2,None,ISS,2219.539685182703,99.43076424455258,100,1,1
720,2,None,ISS,2159.539685182703,99.43076424455258,100,1,1
780,2,None,ISS,2099.539685182703,99.43076424455258,100,1,1
840,2,None,ISS,2039.5396851827031,99.43076424455258,100,1,1
900,2,None,ISS,1979.5396851827031,99.43076424455258,100,1,1
960,2,None,ISS,1919.5396851827031,99.43076424455258,100,1,1
1020,2,None,ISS,1859.5396851827031,99.43076424455258,100,1,1
1080,2,None,ISS,1799.5396851827031,99.43076424455258,100,1,1
1140,2,None,ISS,1739.5396851827031,99.43076424455258,100,1,1
1200,2,None,ISS,1679.5396851827031,99.43076424455258,100,1,1
1260,2,None,ISS,1619.5396851827031,99.43076424455258,100,1,1
1320,2,None,ISS,1559.5396851827031,99.43076424455258,100,1,1
1380,2,None,ISS,1499.5396851827031,99.43076424455258,100,1,1
1440,2,None,ISS,1439.5396851827031,99.43076424455258,100,1,1
1500,2,None,ISS,1379.5396851827031,99.43076424455258,100,1,1
1560,2,None,ISS,1319.5396851827031,99.43076424455258,100,1,1
1620,2,None,ISS,1259.5396851827031,99.43076424455258,100,1,1
1680,2,None,ISS,1199.5396851827031,99.43076424455258,100,1,1
1740,2,None,ISS,1139.5396851827031,99.43076424455258,100,1,1
1800,2,None,ISS,1079.5396851827031,99.43076424455258,100,1,1
1860,2,None,ISS,1019.5396851827031,99.43076424455258,100,1,1
1920,2,None,ISS,959.5396851827031,99.43076424455258,100,1,1
1980,2,None,ISS,899.5396851827031,99.43076424455258,100,1,1
2040,2,None,ISS,839.5396851827031,99.43076424455258,100,1,1
2100,2,None,ISS,779.5396851827031,99.43076424455258,100,1,1
2160,2,None,ISS,719.5396851827031,99.43076424455258,100,1,1
2220,2,None,ISS,659.5396851827031,99.43076424455258,100,1,1
2280,2,None,ISS,599.5396851827031,99.43076424455258,100,1,1
2340,2,None,ISS,539.5396851827031,99.43076424455258,100,1,1
2400,2,None,ISS,479.5396851827031,99.43076424455258,100,1,1
2460,2,None,ISS,419.5396851827031,99.43076424455258,100,1,1
2520,2,None,ISS,359.5396851827031,99.43076424455258,100,1,1
2580,2,None,ISS,299.5396851827031,99.43076424455258,100,1,1
2640,2,None,ISS,239.53968518270312,99.43076424455258,100,1,1
2700,2,None,ISS,179.53968518270312,99.43076424455258,100,1,1
2760,2,None,ISS,119.53968518270312,99.43076424455258,100,1,1
2820,2,None,ISS,59.539685182703124,99.43076424455258,100,1,1
2880,2,None,ISS,-0.46031481729687584,99.43076424455258,100,1,1
2940,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
3000,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
3060,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
3120,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
3180,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
3240,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
3300,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
3360,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
3420,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
3480,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
3540,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
3600,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
3660,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
