Time,x,y,resources,incoming,capacity,ports_filled,Buy_price,Sell_price
0,8999.99999989138,0.0,0.0,0,200.0,0,1.875,2.25
60,8991.143665170672,399.1686238999276,0.0,0,200.0,0,1.875,2.25
120,8964.59209093403,797.5516542568985,0.0,0,200.0,0,1.875,2.25
180,8920.397532654519,1194.3650436344824,0.0,0,200.0,0,1.875,2.25
240,8858.646968510137,1588.827833766451,0.0,0,200.0,0,1.875,2.25
300,8779.461928204273,1980.1636925407345,0.0,0,200.0,0,1.875,2.25
360,8682.998253786223,2367.6024418787624,0.0,0,200.0,0,1.875,2.25
420,8569.445792942439,2750.381573503212,0.0,0,200.0,0,1.875,2.25
480,8439.028025362168,3127.747749611016,0.0,0,200.0,0,1.875,2.25
540,8292.001622912794,3498.9582854981886,0.0,0,200.0,0,1.875,2.25
600,8128.65594449052,3863.282611218575,0.0,0,200.0,0,1.875,2.25
660,7949.31246654052,4220.003709399835,0.0,0,200.0,0,1.875,2.25
720,7754.324150367399,4568.419526386978,0.0,0,200.0,0,1.875,2.25
780,7544.074747481084,4907.844353936165,0.0,0,200.0,0,1.875,2.25
840,7318.978044345315,5237.610178739547,0.0,0,200.0,0,1.875,2.25
900,7079.477048015095,5557.067997125134,0.0,0,200.0,0,1.875,2.25
960,6826.043114265862,5865.589092344306,0.0,0,200.0,0,1.875,2.25
1020,6559.17501993026,6162.5662719331285,0.0,0,200.0,0,1.875,2.25
1080,6279.397981268232,6447.415062712292,0.0,0,200.0,0,1.875,2.25
1140,5987.262620302352,6719.57486107381,0.0,0,200.0,0,1.875,2.25
1200,5683.34388115273,6978.510036290607,0.0,0,200.0,0,1.875,2.25
1260,5368.239898504224,7223.710984677629,0.0,0,200.0,0,1.875,2.25
1320,5042.570820432873,7454.695132529822,0.0,0,200.0,0,1.875,2.25
1380,4706.977587908374,7671.007885863055,0.0,0,200.0,0,1.875,2.25
1440,4362.120673374561,7872.2235250889025,0.0,0,200.0,0,1.875,2.25
1500,4008.678780890528,8057.946042862468,0.0,0,200.0,0,1.875,2.25
1560,3647.3475103905384,8227.809923454286,0.0,0,200.0,0,1.875,2.25
1620,3278.8379886916287,8381.480862112465,0.0,0,200.0,0,1.875,2.25
1680,2903.8754699431192,8518.656422999316,0.0,0,200.0,0,1.875,2.25
1740,2523.1979082725243,8639.066634407563,0.0,0,200.0,0,1.875,2.25
1800,2137.5545054369286,8742.474520084756,0.0,0,200.0,0,1.875,2.25
1860,1747.704236338189,8828.676565620151,0.0,0,200.0,0,1.875,2.25
1920,1354.4143553038903,8897.503118976225,0.0,0,200.0,0,1.875,2.25
1980,958.4588860737598,8948.818724376482,0.0,0,200.0,0,1.875,2.25
2040,560.6170984633628,8982.522388892523,0.0,0,200.0,0,1.875,2.25
2100,161.67197470314042,8998.547781205614,0.0,0,200.0,0,1.875,2.25
2160,-237.59133152884775,8996.863362151682,0.0,0,200.0,0,1.875,2.25
2220,-636.3870403477708,8977.47244679271,0.0,0,200.0,0,1.875,2.25
2280,-1033.930292135292,8940.413197892472,0.0,0,200.0,0,1.875,2.25
2340,-1429.438692201674,8885.758550809362,0.0,0,200.0,0,1.875,2.25
2400,-1822.1338505967178,8813.616069954176,0.0,0,200.0,0,1.875,2.25
2460,-2211.2429140390873,8724.127737095372,0.0,0,200.0,0,1.875,2.25
2520,-2596.0000869490655,8617.469671928375,0.0,0,200.0,0,1.875,2.25
2580,-2975.648138591203,8493.851785458914,0.0,0,200.0,0,1.875,2.25
2640,-3349.4398933607304,8353.51736688256,0.0,0,200.0,0,1.875,2.25
2700,-3716.639701280735,8196.742604773479,0.0,0,200.0,0,1.875,2.25
2760,-4076.5248858160244,8023.836043524789,0.0,0,200.0,0,1.875,2.25
2820,-4428.387166154312,7835.137976110228,0.0,0,200.0,0,1.875,2.25
2880,-4771.5340511555205,7631.0197743622875,0.0,0,200.0,0,1.875,2.25
2940,-5105.290202225889,7411.883158084809,0.0,0,200.0,0,1.875,2.25
3000,-5428.998762434515,7178.159404438536,0.0,0,200.0,0,1.875,2.25
3060,-5742.022649256693,6930.308499155578,0.0,0,200.0,0,1.875,2.25
3120,-6043.745808399691,6668.8182312532745,0.0,0,200.0,0,1.875,2.25
3180,-6333.5744262434155,6394.203233029138,0.0,0,200.0,0,1.875,2.25
3240,-6610.938098509802,6107.003967226195,0.0,0,200.0,0,1.875,2.25
3300,-6875.2909528608625,5807.785663362112,0.0,0,200.0,0,1.875,2.25
3360,-7126.112723216019,5497.13720531548,0.0,0,200.0,0,1.875,2.25
3420,-7362.909773674494,5175.669972358508,0.0,0,200.0,0,1.875,2.25
3480,-7585.216070027454,4844.016635917153,0.0,0,200.0,0,1.875,2.25
3540,-7792.594096947993,4502.829914426725,0.0,0,200.0,0,1.875,2.25
3600,-7984.635719053859,4152.7812887333885,0.0,0,200.0,0,1.875,2.25
3660,-8160.962984148231,3794.55968056997,0.0,0,200.0,0,1.875,2.25
3720,-8321.228867057756,3428.870096706721,0.0,0,200.0,0,1.875,2.25
3780,-8465.117952603912,3056.4322414455464,0.0,0,200.0,0,1.875,2.25
3840,-8592.347056363518,2677.9791001884378,0.0,0,200.0,0,1.875,2.25
3900,-8702.665781996775,2294.255496867632,0.0,0,200.0,0,1.875,2.25
3960,-8795.857014045861,1906.0166280767558,0.0,0,200.0,0,1.875,2.25
4020,-8871.737345234324,1514.0265767877265,0.0,0,200.0,0,1.875,2.25
4080,-8930.15743742621,1119.0568085786429,0.0,0,200.0,0,1.875,2.25
4140,-8971.002315534672,721.8846533321373,0.0,0,200.0,0,1.875,2.25
4200,-8994.191593801443,323.2917753923625,0.0,0,200.0,0,1.875,2.25
4260,-8999.679634002021,-75.93736480860366,0.0,0,200.0,0,1.875,2.25
4320,-8987.455635265085,-475.01705462722686,0.0,0,200.0,0,1.875,2.25
4380,-8957.543655329393,-873.1618755494253,0.0,0,200.0,0,1.875,2.25
4440,-8910.002563196384,-1269.5882489526712,0.0,0,200.0,0,1.875,2.25
4500,-8844.925923271598,-1663.5159782469532,0.0,0,200.0,0,1.875,2.25
4560,-8762.441811222965,-2054.16978435972,0.0,0,200.0,0,1.875,2.25
4620,-8662.712561918357,-2440.780831542796,0.0,0,200.0,0,1.875,2.25
4680,-8545.934449938517,-2822.588240498236,0.0,0,200.0,0,1.875,2.25
4740,-8412.337303294049,-3198.8405858454767,0.0,0,200.0,0,1.875,2.25
4800,-8262.184051106828,-3568.797374982338,0.0,0,200.0,0,1.875,2.25
4860,-8095.770206145924,-3931.730505429492,0.0,0,200.0,0,1.875,2.25
4920,-7913.423283236472,-4286.925697790403,0.0,0,200.0,0,1.875,2.25
4980,-7715.502154686171,-4633.6839015062205,0.0,0,200.0,0,1.875,2.25
5040,-7502.396343997851,-4971.322670639328,0.0,0,200.0,0,1.875,2.25
5100,-7274.5252592582665,-5299.177506977691,0.0,0,200.0,0,1.875,2.25
5160,-7032.337367711791,-5616.6031678167565,0.0,0,200.0,0,1.875,2.25
5220,-6776.309313143503,-5922.974935845116,0.0,0,200.0,0,1.875,2.25
5280,-6506.944977808773,-6217.689848634622,0.0,0,200.0,0,1.875,2.25
5340,-6224.774490755504,-6500.1678853153,0.0,0,200.0,0,1.875,2.25
5400,-5930.353184490745,-6769.8531080995635,0.0,0,200.0,0,1.875,2.25
5460,-5624.260502044978,-7026.214756409145,0.0,0,200.0,0,1.875,2.25
5520,-5307.098856585179,-7268.748291451362,0.0,0,200.0,0,1.875,2.25
5580,-4979.492445820845,-7496.976389189042,0.0,0,200.0,0,1.875,2.25
5640,-4642.086023536518,-7710.449879749672,0.0,0,200.0,0,1.875,2.25
5700,-4295.543630668361,-7908.7486314251555,0.0,0,200.0,0,1.875,2.25
5760,-3940.5472884221836,-8091.482377522266,0.0,0,200.0,0,1.875,2.25
5820,-3577.795656005011,-8258.291484436506,0.0,0,200.0,0,1.875,2.25
5880,-3208.0026556117796,-8408.8476594378,0.0,0,200.0,0,1.875,2.25
5940,-2831.8960673733645,-8542.85459677502,0.0,0,200.0,0,1.875,2.25
6000,-2450.216097031114,-8660.04856082773,0.0,0,200.0,0,1.875,2.25
6060,-2063.713919156943,-8760.198905157504,0.0,0,200.0,0,1.875,2.25
6120,-1673.150198785878,-8843.108526437274,0.0,0,200.0,0,1.875,2.25
6180,-1279.2935943706605,-8908.614252365347,0.0,0,200.0,0,1.875,2.25
6240,-882.9192450047891,-8956.587162800628,0.0,0,200.0,0,1.875,2.25
6300,-484.8072448911007,-8986.932843487031,0.0,0,200.0,0,1.875,2.25
6360,-85.74110805833065,-8999.59157186779,0.0,0,200.0,0,1.875,2.25
6420,313.4937736527281,-8994.538434623859,0.0,0,200.0,0,1.875,2.25
6480,712.1116762988098,-8971.783376705198,0.0,0,200.0,0,1.875,2.25
6540,1109.328090197365,-8931.371181758368,0.0,0,200.0,0,1.875,2.25
6600,1504.3612638999227,-8873.381383988984,0.0,0,200.0,0,1.875,2.25
6660,1896.4337427371106,-8797.928111632475,0.0,0,200.0,0,1.875,2.25
6720,2284.773898907299,-8705.159862341228,0.0,0,200.0,0,1.875,2.25
6780,2668.6174500974644,-8595.259210930182,0.0,0,200.0,0,1.875,2.25
6840,3047.208963647649,-8468.442450055987,0.0,0,200.0,0,1.875,2.25
6900,3419.8033432986563,-8324.959164536975,0.0,0,200.0,0,1.875,2.25
6960,3785.6672955968647,-8165.091740151677,0.0,0,200.0,0,1.875,2.25
7020,4144.080773070287,-7989.154807882623,0.0,0,200.0,0,1.875,2.25
7080,4494.338391335629,-7797.4946246991085,0.0,0,200.0,0,1.875,2.25
7140,4835.750817347139,-7590.488392097789,0.0,0,200.0,0,1.875,2.25
7200,5167.646126055319,-7368.543513742065,0.0,0,200.0,0,1.875,2.25
7260,5489.3711228055045,-7132.096793661304,0.0,0,200.0,0,1.875,2.25
7320,5800.292628873369,-6881.61357658813,0.0,0,200.0,0,1.875,2.25
7380,6099.798727607923,-6617.586832125257,0.0,0,200.0,0,1.875,2.25
7440,6387.299968728835,-6340.536184544762,0.0,0,200.0,0,1.875,2.25
7500,6662.230528408576,-6051.0068901287505,0.0,0,200.0,0,1.875,2.25
7560,6924.049322855693,-5749.568764064522,0.0,0,200.0,0,1.875,2.25
7620,7172.241073207984,-5436.81505900589,0.0,0,200.0,0,1.875,2.25
7680,7406.317319639685,-5113.361297507741,0.0,0,200.0,0,1.875,2.25
7740,7625.817382686646,-4779.844060632,0.0,0,200.0,0,1.875,2.25
7800,7830.309269897853,-4436.919735108646,0.0,0,200.0,0,1.875,2.25
7860,8019.390526028672,-4085.263221517848,0.0,0,200.0,0,1.875,2.25
7920,8192.689025102729,-3725.566606035399,0.0,0,200.0,0,1.875,2.25
7980,8349.863702783476,-3358.537798355682,0.0,0,200.0,0,1.875,2.25
8040,8490.605227614218,-2984.8991384726787,0.0,0,200.0,0,1.875,2.25
8100,8614.636609805391,-2605.3859750611878,0.0,0,200.0,0,1.875,2.25
8160,8721.713746371086,-2220.745218255914,0.0,0,200.0,0,1.875,2.25
8220,8811.625901541891,-1831.7338696767363,0.0,0,200.0,0,1.875,2.25
8280,8884.196121508548,-1439.1175325932675,0.0,0,200.0,0,1.875,2.25
8340,8939.281582680213,-1043.6689051606413,0.0,0,200.0,0,1.875,2.25
8400,8976.773872771912,-646.1662596920498,0.0,0,200.0,0,1.875,2.25
8460,8996.599204167978,-247.3919109609925,0.0,0,200.0,0,1.875,2.25
8520,8998.718559141571,151.869323452458,0.0,0,200.0,0,1.875,2.25
8580,8983.127766644455,550.8316677409313,0.0,0,200.0,0,1.875,2.25
8640,8949.857510515945,948.7099343351155,0.0,0,200.0,0,1.875,2.25
8700,8898.973269094831,1344.7210692111948,0.0,0,200.0,0,1.875,2.25
8760,8830.575186353115,1738.0856929994893,0.0,0,200.0,0,1.875,2.25
8820,8744.797874805245,2128.029634860969,0.0,0,200.0,0,1.875,2.25
8880,8641.810150580677,2513.7854561130757,0.0,0,200.0,0,1.875,2.25
8940,8521.814701181152,2894.5939606061556,0.0,0,200.0,0,1.875,2.25
9000,8385.047686576643,3269.7056888779043,0.0,0,200.0,0,1.875,2.25
9060,8231.778274424953,3638.382393145367,0.0,0,200.0,0,1.875,2.25
9120,8062.30811032974,3999.8984902314915,0.0,0,200.0,0,1.875,2.25
9180,7876.97072417953,4353.542489566801,0.0,0,200.0,0,1.875,2.25
9240,7676.130873736131,4698.618393455664,0.0,0,200.0,0,1.875,2.25
9300,7460.183826764154,5034.447066851676,0.0,0,200.0,0,1.875,2.25
9360,7229.554583114696,5360.367573945857,0.0,0,200.0,0,1.875,2.25
9420,6984.697038294022,5675.738478937487,0.0,0,200.0,0,1.875,2.25
9480,6726.093090163439,5979.939108427486,0.0,0,200.0,0,1.875,2.25
9540,6454.251690528429,6272.370772949875,0.0,0,200.0,0,1.875,2.25
9600,6169.707843483709,6552.457945237076,0.0,0,200.0,0,1.875,2.25
9660,5873.021552485319,6819.649392900474,0.0,0,200.0,0,1.875,2.25
9720,5564.776718222175,7073.419263296734,0.0,0,200.0,0,1.875,2.25
9780,5245.5799894561005,7313.268118444901,0.0,0,200.0,0,1.875,2.25
9840,4916.0595690919345,7538.723917957503,0.0,0,200.0,0,1.875,2.25
9900,4576.863977827462,7749.342948051162,0.0,0,200.0,0,1.875,2.25
9960,4228.660777816478,7944.710694808302,0.0,0,200.0,0,1.875,2.25
10020,3872.13525885681,8124.442659971378,0.0,0,200.0,0,1.875,2.25
10080,3507.989089688983,8288.185117664056,0.0,0,200.0,0,1.875,2.25
10140,3136.938937059979,8435.615810550044,0.0,0,200.0,0,1.875,2.25
10200,2759.715055269782,8566.444584059493,0.0,0,200.0,0,1.875,2.25
10260,2377.0598489765766,8680.413957434768,0.0,0,200.0,0,1.875,2.25
10320,1989.7264120891598,8777.29963047176,0.0,0,200.0,0,1.875,2.25
10380,1598.4770456221358,8856.910924959335,0.0,0,200.0,0,1.875,2.25
10440,1204.0817574307434,8919.09115994827,0.0,0,200.0,0,1.875,2.25
10500,807.316746778234,8963.717960110987,0.0,0,200.0,0,1.875,2.25
10560,408.96287671790265,8990.70349658532,0.0,0,200.0,0,1.875,2.25
10620,9.804137296552774,8999.994659828235,0.0,0,200.0,0,1.875,2.25
10680,-389.37389739625405,8991.573164139374,0.0,0,200.0,0,1.875,2.25
10740,-787.7856152964027,8965.455583648662,0.0,0,200.0,0,1.875,2.25
10800,-1184.6469125082763,8921.693319697191,0.0,0,200.0,0,1.875,2.25
10860,-1579.1767364794507,8860.372499675563,0.0,0,200.0,0,1.875,2.25
10920,-1970.5986231702686,8781.613807518772,0.0,0,200.0,0,1.875,2.25
