Time,Transporter,Origin,Destination,TOF
60,T1,LeoDepot,LeoSSP,2790.2579479683013
120,T2,LeoDepot,LeoSSP,2790.2579479683004
120,T4,LeoDepot,LEO1,2744.2231131416033
180,T3,LeoDepot,SolarPanels,2821.0893541466207
3000,T1,LeoSSP,LeoDepot,2790.2579479683004
3000,T4,LEO1,LeoDepot,2744.2231131416033
3060,T2,LeoSSP,LeoDepot,2790.257947968301
3180,T3,SolarPanels,LeoDepot,2821.0893541466207
5940,T4,LeoDepot,SolarPanels,2821.0893541466207
6000,T1,LeoDepot,LeoSSP,2790.2579479682995
6060,T2,LeoDepot,ISS,2759.539685182703
7020,T3,LeoDepot,DSG,430296.4025686069
8940,T1,LeoSSP,LeoDepot,2790.2579479683013
8940,T2,ISS,LeoDepot,2759.539685182704
11940,T1,LeoDepot,LEO1,2744.223113141603
12480,T2,LeoDepot,DSG,430296.4025686069
14820,T1,LEO1,LeoDepot,2744.223113141604
17760,T1,LeoDepot,Factory,3296.8665882396513
21180,T1,Factory,LEO1,3313.147392790922
25500,T1,LEO1,GeoSSP,15007.927088101713
79080,T4,SolarPanels,LeoDepot,2821.0893541466207
82140,T4,LeoDepot,GeoSSP,14980.974813236395
