Time,Transporter,Node,TT,In_Network,Quantity,Price,Value
60,T1,LeoDepot,s,0,-60.0,1.4175000000000002,85.05000000000001
120,T2,LeoDepot,s,0,-80.0,1.445950134335289,115.67601074682312
120,T4,LeoDepot,s,0,-50.0,1.4857892972878683,74.28946486439342
180,T3,LeoDepot,s,0,-90.0,1.5112711456370853,136.01440310733767
2940,T1,LeoSSP,b,0,75.0,3.2360574243827145,242.70430682870358
2940,T4,LEO1,b,1,75.0,1.3125,98.4375
3000,T2,LeoSSP,b,0,75.0,3.235875771604937,242.69068287037027
3120,T3,SolarPanels,b,0,75.0,2.6573976203703706,199.3048215277778
5940,T4,LeoDepot,s,0,-75.38160271585909,1.5235999389080954,114.85140529267723
6000,T1,LeoDepot,s,0,-76.50134147040215,1.5643422380351921,119.67427972850336
6060,T2,LeoDepot,s,0,-76.50134147040217,1.6079416134134716,123.00969043221339
7020,T3,LeoDepot,s,0,-77.2276201590445,1.6476830665817581,127.24664200846566
8880,T1,LeoSSP,b,0,56.87500000000125,3.430611827160488,195.11604766975705
8880,T2,ISS,b,0,62.777777777777146,2.7258500123456835,171.12280633058842
8880,T4,SolarPanels,b,0,75.0,2.8928853981481506,216.9664048611113
11940,T1,LeoDepot,s,0,-58.37634147040339,1.6604673331611062,96.9320080410628
12480,T2,LeoDepot,s,0,-63.536758785040355,1.6944433113744595,107.65943594972406
14760,T1,LEO1,b,0,75.0,1.3715625,102.8671875
17760,T1,LeoDepot,s,0,-75.38160271585907,1.6960665260483136,127.85221304624123
21120,T1,Factory,b,0,75.0,2.9731742222222257,222.98806666666692
25500,T1,LEO1,s,0,-86.3066233505978,1.080874195396594,93.28660207147428
40620,T1,GeoSSP,b,0,75.0,4.262651413580222,319.6988560185166
82140,T4,LeoDepot,s,0,-77.22762015904453,1.4175000000000002,109.47015157544564
97200,T4,GeoSSP,b,0,75.0,4.5201999999999165,339.01499999999373
437400,T3,DSG,b,0,75.0,5.144,385.8
442860,T2,DSG,b,0,75.0,5.140982640817901,385.5736980613426
